9436 26848
1595 7738 -869
980 3463 -338
6386 3502 -964
1225 1594 -567
1205 5959 -254
453 144 -424
4005 4318 293
1428 1307 -937
4090 5709 365
4451 3760 -430
7993 5905 -602
1691 7861 666
1625 735 899
2106 1542 -240
2021 8081 -478
915 6187 787
4380 5921 989
7561 6070 -404
5773 3137 -565
6015 296 238
4259 7219 -568
3668 8794 -40
4690 5880 630
3200 7375 -610
9146 6544 491
8224 8743 -150
8109 7055 -910
88 3530 -688
8376 4651 468
1047 7360 -104
4424 4239 371
4533 8189 198
6128 5460 -137
3145 3301 735
9435 8297 897
2286 8618 132
1942 1435 554
3335 235 -726
7017 6201 620
1308 1890 972
88 1180 -613
1799 7136 363
1121 1605 -125
5586 3071 313
3602 2292 -178
9047 6659 -571
3087 8253 -123
2940 4692 -711
3983 5937 171
4531 1660 631
9319 6699 605
7304 1939 -523
8671 5552 -367
9362 753 -371
8075 2138 944
6232 8288 -376
4523 9006 -429
4588 700 684
4514 1358 982
3957 6028 939
1556 7518 891
331 4412 -226
9014 7483 -492
6815 8225 897
302 650 489
85 3642 -896
873 5428 64
6851 8692 -326
5923 1553 -379
4710 5214 461
4065 6962 896
2140 7026 -878
4748 7127 -804
6892 3202 943
8520 2169 -684
7578 6838 -676
4107 8856 308
1392 408 353
5304 2336 567
6474 1029 -467
5138 5293 886
4105 1521 221
1645 4554 -729
9267 4073 415
8823 3438 -284
3374 1978 458
2904 3026 -344
172 3566 -28
5595 4072 49
3764 2789 -288
5889 8912 -65
1243 7104 -933
1646 2639 -950
7569 3175 87
184 8267 347
9118 5025 548
6911 7745 -546
5807 7117 615
5377 5155 130
2884 7231 534
6514 6599 -863
1212 6601 -39
7622 8112 -649
847 6480 247
7986 3785 172
2306 8231 -845
3741 2879 294
6885 635 269
6853 2301 304
3021 862 848
2023 4968 130
5877 2400 -122
925 5940 162
4387 8547 12
5469 3092 -274
9169 3068 319
3352 7958 -155
8829 3055 88
944 777 634
6273 5781 -96
1938 5372 842
8023 8627 -583
8193 5247 -867
1319 611 782
4668 7760 -99
8135 1202 837
569 66 -683
1728 6771 470
7172 7616 -837
737 5797 -701
1261 5488 111
5047 1127 -914
8501 921 446
1744 759 -221
134 4368 722
4525 2692 488
9158 7311 963
5541 2732 20
7896 569 -316
8272 8213 -363
3264 5794 876
458 64 -673
565 1842 -357
9141 6928 -911
5685 7035 663
5393 6878 830
1884 8940 270
8571 2505 31
3832 430 872
2703 3864 -586
7037 407 152
